store_id,forecast_week,sales_prediction
105,7,43001.92433796503
105,8,43100.105639265385
105,9,24551.209644934333
106,1,41046.43815983274
106,2,41087.37300428693
106,3,41277.809893620295
106,4,41249.37322008697
106,5,41278.32679342324
106,6,40982.17029918779
106,7,41592.56734673288
106,8,41417.22426951715
106,9,23786.552879747083
107,1,43359.276219739906
107,2,43074.133712529045
107,3,42936.9357784752
107,4,43213.82863858364
107,5,43011.11926541902
107,6,42894.40637113329
107,7,42881.28368839954
107,8,43060.36262235936
107,9,24651.57115172935
108,1,31597.360290511533
108,2,32411.529710328447
108,3,31876.19488299849
108,4,31191.042756392548
108,5,31695.380622985736
108,6,31400.293294169514
108,7,31283.413173469744
108,8,30358.515704838832
108,9,16982.447237072134
109,1,41240.461829149135
109,2,40849.44064596502
109,3,40880.92364582221
109,4,40815.9986190146
109,5,40362.527857263
109,6,40294.23971716798
109,7,40611.38294841811
109,8,40507.5924366076
109,9,23242.080107249112
110,1,50988.702913373134
110,2,50527.361567364926
110,3,50006.963026738
110,4,50053.46473200854
110,5,49758.356297664104
110,6,49557.9021769183
110,7,49445.60159723848
110,8,49681.95757099866
110,9,28441.915810921262
111,1,57785.365161099464
111,2,57132.26235478421
111,3,57319.589501578535
111,4,57524.86824463515
111,5,57810.805298046915
111,6,56924.030357957025
111,7,57095.97194299099
111,8,57215.06585786285
111,9,32887.127124513834
112,1,22584.89025123442
112,2,23860.4217113061
112,3,24152.035383351573
112,4,23986.69387936135
112,5,24655.53359865417
112,6,25169.878487454265
112,7,24578.078895320392
112,8,24393.891535408977
112,9,14050.724717202465
113,1,40859.8173353976
113,2,40853.80835592492
113,3,40662.32548972649
113,4,40723.310877587806
113,5,40653.7005896113
113,6,40875.85325006776
113,7,40711.738958619906
113,8,41129.85534258153
113,9,23554.59082458339
114,1,42384.36174131258
114,2,42130.46997360544
114,3,42249.54194725019
114,4,42074.86778391128
114,5,41988.94743261157
114,6,41990.8047552804
114,7,41412.24053962664
114,8,41526.49255618899
114,9,23574.81602329766
115,1,40593.85583223666
115,2,40694.61134076174
115,3,40541.572165476275
115,4,40350.598706934274
115,5,40622.260789572836
115,6,40806.74839515476
115,7,40291.2439029959
115,8,40360.42013048013
115,9,22980.517903283086
116,1,33576.34751566225
116,2,33424.08124957763
116,3,32500.546029404297
116,4,32290.22985050273
116,5,32090.341734531255
116,6,32131.743241694458
116,7,31930.700565375602
116,8,31667.195335410695
116,9,17891.14301565021
117,1,24273.591466950154
117,2,25051.675089909575
117,3,25357.46737398286
117,4,25353.779554968685
117,5,25572.626063789547
117,6,25885.622459619346
117,7,26311.31756258502
117,8,25717.755780833137
117,9,14698.913823465042
118,1,42901.61115517089
118,2,42354.681252148635
118,3,42381.964737688715
118,4,42932.57646602117
118,5,42577.6816565003
118,6,42514.286601794105
118,7,43119.54327593756
118,8,43135.48622785852
118,9,24807.75994669488
119,1,47715.1472206919
119,2,47642.37436024475
119,3,47674.8003170964
119,4,47829.313472387905
119,5,47875.14692657014
119,6,48007.1743180274
119,7,47695.146190297164
119,8,47782.69483408374
119,9,27119.182707993623
120,1,61716.77640442259
120,2,61153.31012930817
120,3,60655.73432489815
120,4,60785.507128955345
120,5,60528.09859877508
120,6,60419.58032373572
120,7,60060.798449423615
120,8,60158.61094442064
120,9,34434.72690307405
121,1,21820.007789958257
121,2,22390.225671856282
121,3,21723.044613567003
121,4,21242.493577086978
121,5,21490.264555945683
121,6,21660.055558828088
121,7,21400.182756000373
121,8,20948.069997045743
121,9,12193.925222204363
122,1,46176.62779501525
122,2,46090.45878846212
122,3,45594.39150902401
122,4,46045.23662107037
122,5,46272.74227802761
122,6,46522.31285902096
122,7,45985.0782854452
122,8,45926.02783717518
122,9,26153.746628534827
123,1,40442.19210825911
123,2,40452.069604861106
123,3,40629.77659971016
123,4,40386.00216562392
123,5,40164.17522277137
123,6,39710.49152802247
123,7,39650.276254586504
123,8,39261.946597485265
123,9,22210.67863955849
124,1,40654.506206150196
124,2,40527.43932459732
124,3,40486.51912304281
124,4,40566.93459317384
124,5,40590.058520431805
124,6,40389.30235862264
124,7,40163.415000588255
124,8,40312.52317772013
124,9,23294.015982626926
125,1,45660.933465529255
125,2,45491.382100766335
125,3,45467.668704506665
125,4,45690.106190029626
125,5,45412.37293110686
125,6,45778.247366054835
125,7,45633.37749475039
125,8,45740.43708473292
125,9,26048.043386034497
126,1,31431.18588460318
126,2,32003.084918368317
126,3,32386.784319039198
126,4,32761.41235003282
126,5,32559.00783121084
126,6,32757.367819294777
126,7,33947.59318770367
126,8,33932.342108132805
126,9,19148.621698516446
127,1,40475.255678281224
127,2,40747.07985154861
127,3,40925.99095213169
127,4,40821.85171818223
127,5,41010.72133362023
127,6,41352.5969044397
127,7,42111.42099028048
127,8,41922.93141417111
127,9,23835.75944837198
128,1,36440.36727687101
128,2,37017.30799861532
128,3,37288.05420431656
128,4,37176.71776639225
128,5,37621.50418931389
128,6,37881.89771577546
128,7,38352.794702960105
128,8,37872.27953251525
128,9,21511.057653475706
129,1,49811.7658905029
129,2,49201.54458027508
129,3,48854.28475396229
129,4,49092.911034608376
129,5,49476.99001126593
129,6,49229.41438037513
129,7,48865.628224284075
129,8,49098.99941777022
